Année,Grande région,Domaine d'activité,Homme,Femme
2010,"Région lémanique (VD, VS, GE)",ACTIVITES PROCHES DE LA PRODUCTION,5931,4960
2010,"Région lémanique (VD, VS, GE)",Fabrication et transformation de produits,6013,4798
2010,"Région lémanique (VD, VS, GE)",Activités de la construction,5840,5240
2010,"Région lémanique (VD, VS, GE)","Mise en service, réglage et maintenance de machines",6144,5967
2010,"Région lémanique (VD, VS, GE)","Restauration, arts manuels",5055,4133
2010,"Région lémanique (VD, VS, GE)",SERVICES,6977,5637
2010,"Région lémanique (VD, VS, GE)",Définition des buts et de la stratégie de l'entreprise,12917,9893
2010,"Région lémanique (VD, VS, GE)","Comptabilité, gestion du personnel",9478,7063
2010,"Région lémanique (VD, VS, GE)","Secrétariat, travaux de chancellerie",7720,6167
2010,"Région lémanique (VD, VS, GE)",Autres activités commerciales et administratives,8441,6500
2010,"Région lémanique (VD, VS, GE)","Logistique, tâches d'état-major",7933,7425
2010,"Région lémanique (VD, VS, GE)","Expertises, conseils, vente",10434,7751
2010,"Région lémanique (VD, VS, GE)",Achat et vente de produits de base et d'équipement,8100,6591
2010,"Région lémanique (VD, VS, GE)","Vente de biens de consommation, vente au détail",5152,4240
2010,"Région lémanique (VD, VS, GE)",Recherche et développement,9366,8171
2010,"Région lémanique (VD, VS, GE)","Analyse, programmation, 'operating'",9330,8017
2010,"Région lémanique (VD, VS, GE)","Planifier, construire, réaliser, dessiner",7237,6041
2010,"Région lémanique (VD, VS, GE)","Transp. de personnes et de marchandises, communications",5413,5311
2010,"Région lémanique (VD, VS, GE)","Services de sécurité, de surveillance",5943,5091
2010,"Région lémanique (VD, VS, GE)","Activités médicales, sociales et dans le domaine des soins",6765,5884
2010,"Région lémanique (VD, VS, GE)","Soins corporels, nettoyage des vêtements",4111,3875
2010,"Région lémanique (VD, VS, GE)",Nettoyage et hygiène publique,4540,3716
2010,"Région lémanique (VD, VS, GE)",Activités pédagogiques,7639,6600
2010,"Région lémanique (VD, VS, GE)","Activités de l'hôtellerie-restauration, économie domestique",4381,3934
2010,"Région lémanique (VD, VS, GE)","Culture, information, sport, loisirs et divertissements",6500,5962
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",ACTIVITES PROCHES DE LA PRODUCTION,5821,4610
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",Fabrication et transformation de produits,5621,4536
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",Activités de la construction,5768,5171
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Mise en service, réglage et maintenance de machines",6263,4940
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Restauration, arts manuels",5000,3864
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",SERVICES,7116,5357
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",Définition des buts et de la stratégie de l'entreprise,11429,8924
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Comptabilité, gestion du personnel",8666,6315
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Secrétariat, travaux de chancellerie",6333,5676
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",Autres activités commerciales et administratives,7991,5818
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Logistique, tâches d'état-major",7000,5949
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Expertises, conseils, vente",8957,6846
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",Achat et vente de produits de base et d'équipement,7855,5528
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Vente de biens de consommation, vente au détail",5590,4350
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",Recherche et développement,8946,7724
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Analyse, programmation, 'operating'",9161,7495
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Planifier, construire, réaliser, dessiner",7204,5800
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Transp. de personnes et de marchandises, communications",5692,4988
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Services de sécurité, de surveillance",7353,6128
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Activités médicales, sociales et dans le domaine des soins",6956,5841
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Soins corporels, nettoyage des vêtements",4262,3810
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",Nettoyage et hygiène publique,4925,4167
2010,"Espace Mittelland (BE, FR, SO, NE, JU)",Activités pédagogiques,7075,6357
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Activités de l'hôtellerie-restauration, économie domestique",4368,4130
2010,"Espace Mittelland (BE, FR, SO, NE, JU)","Culture, information, sport, loisirs et divertissements",7143,6390
2010,"Suisse du Nord-Ouest (BS, BL, AG)",ACTIVITES PROCHES DE LA PRODUCTION,5987,4528
2010,"Suisse du Nord-Ouest (BS, BL, AG)",Fabrication et transformation de produits,5921,4400
2010,"Suisse du Nord-Ouest (BS, BL, AG)",Activités de la construction,5831,4870
