"Année","Grande région","Classe de salaires nets","Taux d'occupation","Homme","Femme"
"2002","Région lémanique (VD, VS, GE)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2002","Région lémanique (VD, VS, GE)","0-  1000 francs","Temps partiel (< 90%)",19.4,17.9
"2002","Région lémanique (VD, VS, GE)","1001-  2000 francs","Plein temps (>= 90%)",0.1,0.4
"2002","Région lémanique (VD, VS, GE)","1001-  2000 francs","Temps partiel (< 90%)",16.2,24.3
"2002","Région lémanique (VD, VS, GE)","2001-  3000 francs","Plein temps (>= 90%)",3.1,11.3
"2002","Région lémanique (VD, VS, GE)","2001-  3000 francs","Temps partiel (< 90%)",17.2,26.2
"2002","Région lémanique (VD, VS, GE)","3001-  4000 francs","Plein temps (>= 90%)",13.9,28.8
"2002","Région lémanique (VD, VS, GE)","3001-  4000 francs","Temps partiel (< 90%)",19.4,16.6
"2002","Région lémanique (VD, VS, GE)","4001-  5000 francs","Plein temps (>= 90%)",25.4,22.8
"2002","Région lémanique (VD, VS, GE)","4001-  5000 francs","Temps partiel (< 90%)",17.2,8.5
"2002","Région lémanique (VD, VS, GE)","5001-  6000 francs","Plein temps (>= 90%)",19.8,15.0
"2002","Région lémanique (VD, VS, GE)","5001-  6000 francs","Temps partiel (< 90%)",5.9,4.0
"2002","Région lémanique (VD, VS, GE)","6001-  7000 francs","Plein temps (>= 90%)",11.8,8.7
"2002","Région lémanique (VD, VS, GE)","6001-  7000 francs","Temps partiel (< 90%)",2.1,1.2
"2002","Région lémanique (VD, VS, GE)","7001-  8000 francs","Plein temps (>= 90%)",7.3,5.1
"2002","Région lémanique (VD, VS, GE)","7001-  8000 francs","Temps partiel (< 90%)",0.7,0.4
"2002","Région lémanique (VD, VS, GE)","8001-  9000 francs","Plein temps (>= 90%)",4.5,2.6
"2002","Région lémanique (VD, VS, GE)","8001-  9000 francs","Temps partiel (< 90%)",0.5,0.2
"2002","Région lémanique (VD, VS, GE)","9001-10000 francs","Plein temps (>= 90%)",3.2,1.5
"2002","Région lémanique (VD, VS, GE)","9001-10000 francs","Temps partiel (< 90%)",X,X
"2002","Région lémanique (VD, VS, GE)","10001-11000 francs","Plein temps (>= 90%)",2.2,0.8
"2002","Région lémanique (VD, VS, GE)","10001-11000 francs","Temps partiel (< 90%)",X,X
"2002","Région lémanique (VD, VS, GE)","11001-12000 francs","Plein temps (>= 90%)",1.6,0.5
"2002","Région lémanique (VD, VS, GE)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2002","Région lémanique (VD, VS, GE)","12001-13000 francs","Plein temps (>= 90%)",1.2,0.5
"2002","Région lémanique (VD, VS, GE)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2002","Région lémanique (VD, VS, GE)","13001-14000 francs","Plein temps (>= 90%)",0.9,0.2
"2002","Région lémanique (VD, VS, GE)","13001-14000 francs","Temps partiel (< 90%)",X,X
"2002","Région lémanique (VD, VS, GE)","14001-15000 francs","Plein temps (>= 90%)",0.7,0.2
"2002","Région lémanique (VD, VS, GE)","14001-15000 francs","Temps partiel (< 90%)",X,X
"2002","Région lémanique (VD, VS, GE)","15001-16000 francs","Plein temps (>= 90%)",0.5,0.1
"2002","Région lémanique (VD, VS, GE)","15001-16000 francs","Temps partiel (< 90%)",X,X
"2002","Région lémanique (VD, VS, GE)","16001-17000 francs","Plein temps (>= 90%)",0.4,0.1
"2002","Région lémanique (VD, VS, GE)","16001-17000 francs","Temps partiel (< 90%)",X,X
"2002","Région lémanique (VD, VS, GE)","17001-18000 francs","Plein temps (>= 90%)",0.3,X
"2002","Région lémanique (VD, VS, GE)","17001-18000 francs","Temps partiel (< 90%)",*,X
"2002","Région lémanique (VD, VS, GE)","18001-19000 francs","Plein temps (>= 90%)",0.3,X
"2002","Région lémanique (VD, VS, GE)","18001-19000 francs","Temps partiel (< 90%)",X,*
"2002","Région lémanique (VD, VS, GE)","19001-20000 francs","Plein temps (>= 90%)",0.2,X
"2002","Région lémanique (VD, VS, GE)","19001-20000 francs","Temps partiel (< 90%)",X,*
"2002","Région lémanique (VD, VS, GE)","20001+ francs","Plein temps (>= 90%)",1.7,0.3
"2002","Région lémanique (VD, VS, GE)","20001+ francs","Temps partiel (< 90%)",X,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","0-  1000 francs","Plein temps (>= 90%)",X,X
