"Année","Grande région","Domaine d'activité","Niveau de qualification","Homme","Femme"
"2002","Région lémanique (VD, VS, GE)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 1+2",5640,4956
"2002","Région lémanique (VD, VS, GE)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 3",5473,4685
"2002","Région lémanique (VD, VS, GE)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 4",4925,3900
"2002","Région lémanique (VD, VS, GE)","Fabrication et transformation de produits","Niveau 1+2",5706,4867
"2002","Région lémanique (VD, VS, GE)","Fabrication et transformation de produits","Niveau 3",5496,4545
"2002","Région lémanique (VD, VS, GE)","Fabrication et transformation de produits","Niveau 4",4637,3825
"2002","Région lémanique (VD, VS, GE)","Activités de la construction","Niveau 1+2",5599,X
"2002","Région lémanique (VD, VS, GE)","Activités de la construction","Niveau 3",5338,4895
"2002","Région lémanique (VD, VS, GE)","Activités de la construction","Niveau 4",5068,4200
"2002","Région lémanique (VD, VS, GE)","Mise en service, réglage et maintenance de machines","Niveau 1+2",5645,X
"2002","Région lémanique (VD, VS, GE)","Mise en service, réglage et maintenance de machines","Niveau 3",5776,5401
"2002","Région lémanique (VD, VS, GE)","Mise en service, réglage et maintenance de machines","Niveau 4",5105,4397
"2002","Région lémanique (VD, VS, GE)","Restauration, arts manuels","Niveau 1+2",X,X
"2002","Région lémanique (VD, VS, GE)","Restauration, arts manuels","Niveau 3",4938,4541
"2002","Région lémanique (VD, VS, GE)","Restauration, arts manuels","Niveau 4",5411,4455
"2002","Région lémanique (VD, VS, GE)","SERVICES","Niveau 1+2",8783,6487
"2002","Région lémanique (VD, VS, GE)","SERVICES","Niveau 3",5921,5239
"2002","Région lémanique (VD, VS, GE)","SERVICES","Niveau 4",4155,3895
"2002","Région lémanique (VD, VS, GE)","Définition des buts et de la stratégie de l'entreprise","Niveau 1+2",11841,10028
"2002","Région lémanique (VD, VS, GE)","Définition des buts et de la stratégie de l'entreprise","Niveau 3",8016,7178
"2002","Région lémanique (VD, VS, GE)","Définition des buts et de la stratégie de l'entreprise","Niveau 4",X,X
"2002","Région lémanique (VD, VS, GE)","Comptabilité, gestion du personnel","Niveau 1+2",9217,6667
"2002","Région lémanique (VD, VS, GE)","Comptabilité, gestion du personnel","Niveau 3",6941,6092
"2002","Région lémanique (VD, VS, GE)","Comptabilité, gestion du personnel","Niveau 4",5486,5257
"2002","Région lémanique (VD, VS, GE)","Secrétariat, travaux de chancellerie","Niveau 1+2",9056,5664
"2002","Région lémanique (VD, VS, GE)","Secrétariat, travaux de chancellerie","Niveau 3",6680,5722
"2002","Région lémanique (VD, VS, GE)","Secrétariat, travaux de chancellerie","Niveau 4",5617,5290
"2002","Région lémanique (VD, VS, GE)","Autres activités commerciales et administratives","Niveau 1+2",8345,6353
"2002","Région lémanique (VD, VS, GE)","Autres activités commerciales et administratives","Niveau 3",6687,5354
"2002","Région lémanique (VD, VS, GE)","Autres activités commerciales et administratives","Niveau 4",5543,4983
"2002","Région lémanique (VD, VS, GE)","Logistique, tâches d'état-major","Niveau 1+2",8569,8368
"2002","Région lémanique (VD, VS, GE)","Logistique, tâches d'état-major","Niveau 3",7619,7107
"2002","Région lémanique (VD, VS, GE)","Logistique, tâches d'état-major","Niveau 4",5558,5215
"2002","Région lémanique (VD, VS, GE)","Expertises, conseils, vente","Niveau 1+2",12370,8552
"2002","Région lémanique (VD, VS, GE)","Expertises, conseils, vente","Niveau 3",8240,6436
"2002","Région lémanique (VD, VS, GE)","Expertises, conseils, vente","Niveau 4",4895,5044
"2002","Région lémanique (VD, VS, GE)","Achat et vente de produits de base et d'équipement","Niveau 1+2",8060,6148
"2002","Région lémanique (VD, VS, GE)","Achat et vente de produits de base et d'équipement","Niveau 3",6293,5741
"2002","Région lémanique (VD, VS, GE)","Achat et vente de produits de base et d'équipement","Niveau 4",4679,3745
"2002","Région lémanique (VD, VS, GE)","Vente de biens de consommation, vente au détail","Niveau 1+2",5808,4390
"2002","Région lémanique (VD, VS, GE)","Vente de biens de consommation, vente au détail","Niveau 3",4593,3715
"2002","Région lémanique (VD, VS, GE)","Vente de biens de consommation, vente au détail","Niveau 4",3929,3520
"2002","Région lémanique (VD, VS, GE)","Recherche et développement","Niveau 1+2",9494,8667
"2002","Région lémanique (VD, VS, GE)","Recherche et développement","Niveau 3",7559,7000
"2002","Région lémanique (VD, VS, GE)","Recherche et développement","Niveau 4",6017,5600
"2002","Région lémanique (VD, VS, GE)","Analyse, programmation, 'operating'","Niveau 1+2",9286,9243
"2002","Région lémanique (VD, VS, GE)","Analyse, programmation, 'operating'","Niveau 3",7937,7258
