"Année","Grande région","Formation","Position professionnelle","Homme Médiane","Femme Médiane"
"2002","Région lémanique (VD, VS, GE)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10306,7659
"2002","Région lémanique (VD, VS, GE)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8305,6944
"2002","Région lémanique (VD, VS, GE)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7425,6250
"2002","Région lémanique (VD, VS, GE)","Brevet d'enseignement","Position professionnelle - Total",5863,5758
"2002","Région lémanique (VD, VS, GE)","Maturité","Position professionnelle - Total",6970,6039
"2002","Région lémanique (VD, VS, GE)","Apprentissage complet (CFC)","Position professionnelle - Total",5568,4933
"2002","Région lémanique (VD, VS, GE)","Formation acquise en entreprise","Position professionnelle - Total",4938,3981
"2002","Région lémanique (VD, VS, GE)","Sans formation prof. complète","Position professionnelle - Total",4420,3685
"2002","Région lémanique (VD, VS, GE)","Autres formations complètes","Position professionnelle - Total",5048,4591
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",9492,7429
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8354,6695
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7301,6348
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Brevet d'enseignement","Position professionnelle - Total",6388,5513
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Maturité","Position professionnelle - Total",6421,4767
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Apprentissage complet (CFC)","Position professionnelle - Total",5460,4567
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Formation acquise en entreprise","Position professionnelle - Total",5043,3876
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Sans formation prof. complète","Position professionnelle - Total",4553,3810
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Autres formations complètes","Position professionnelle - Total",4698,3940
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",9750,8161
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8682,7008
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7645,6460
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Brevet d'enseignement","Position professionnelle - Total",5525,5026
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Maturité","Position professionnelle - Total",7778,5813
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Apprentissage complet (CFC)","Position professionnelle - Total",5767,4874
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Formation acquise en entreprise","Position professionnelle - Total",5138,4201
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Sans formation prof. complète","Position professionnelle - Total",4667,3804
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Autres formations complètes","Position professionnelle - Total",5356,4140
"2002","Zurich (ZH)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10000,8100
"2002","Zurich (ZH)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9492,7644
"2002","Zurich (ZH)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",8183,6937
"2002","Zurich (ZH)","Brevet d'enseignement","Position professionnelle - Total",7003,6754
"2002","Zurich (ZH)","Maturité","Position professionnelle - Total",7044,5744
"2002","Zurich (ZH)","Apprentissage complet (CFC)","Position professionnelle - Total",6181,5284
"2002","Zurich (ZH)","Formation acquise en entreprise","Position professionnelle - Total",5108,3766
"2002","Zurich (ZH)","Sans formation prof. complète","Position professionnelle - Total",4929,4109
"2002","Zurich (ZH)","Autres formations complètes","Position professionnelle - Total",5220,3945
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10065,7500
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8568,6870
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7271,5762
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Brevet d'enseignement","Position professionnelle - Total",5634,5130
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Maturité","Position professionnelle - Total",6067,4500
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Apprentissage complet (CFC)","Position professionnelle - Total",5499,4434
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Formation acquise en entreprise","Position professionnelle - Total",5043,3900
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Sans formation prof. complète","Position professionnelle - Total",4624,3629
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Autres formations complètes","Position professionnelle - Total",4701,3576
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",9974,7871
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8938,7019
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7451,6300
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Brevet d'enseignement","Position professionnelle - Total",6951,5512
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Maturité","Position professionnelle - Total",6244,4409
