"Année","Grande région","Nationalité / Autorisation de résidence","Niveau de qualification","Homme Médiane","Femme Médiane"
"2002","Région \"lémanique\" (VD, VS, GE)","Suisses/étrangers - Total","Niveau 1+2",7793,6454
"2002","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 3",5677,5231
"2002","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 4",4608,3921
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 1+2",7152,5593
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 3",5506,4566
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 4",4663,3886
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 1+2",7738,6067
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 3",5631,4806
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 4",4705,3902
"2002","Zurich (ZH)","Suisses/étrangers - Total","Niveau 1+2",8571,6781
"2002","Zurich (ZH)","Suisses/étrangers - Total","Niveau 3",5841,5076
"2002","Zurich (ZH)","Suisses/étrangers - Total","Niveau 4",4680,4002
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau 1+2",6831,5200
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau 3",5313,4279
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau 4",4563,3650
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau 1+2",7049,5631
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau 3",5417,4540
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau 4",4634,3723
"2002","Tessin (TI)","Suisses/étrangers - Total","Niveau 1+2",6341,5328
"2002","Tessin (TI)","Suisses/étrangers - Total","Niveau 3",4996,4279
"2002","Tessin (TI)","Suisses/étrangers - Total","Niveau 4",4217,3293
"2004","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 1+2",8044,6771
"2004","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 3",5781,5390
"2004","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 4",4669,4000
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 1+2",7403,5952
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 3",5588,4850
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 4",4722,3973
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 1+2",7841,6331
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 3",5733,5046
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 4",4725,3933
"2004","Zurich (ZH)","Suisses/étrangers - Total","Niveau 1+2",8769,6889
