"Salaire mensuel brut Suisses/Suissesses et étrangers/étrangères"

"Année","Grande région","Nationalité / Autorisation de résidence","Niveau de qualification","Homme Médiane","Femme Médiane"
"2002","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau de qualification - Total",5751,4867
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau de qualification - Total",5644,4373
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau de qualification - Total",6016,4769
"2002","Zurich (ZH)","Suisses/étrangers - Total","Niveau de qualification - Total",6543,5154
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau de qualification - Total",5494,4161
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau de qualification - Total",5672,4356
"2002","Tessin (TI)","Suisses/étrangers - Total","Niveau de qualification - Total",4985,3848
"2004","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau de qualification - Total",5842,5067
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau de qualification - Total",5848,4659
"2004","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau de qualification - Total",6136,4931
"2004","Zurich (ZH)","Suisses/étrangers - Total","Niveau de qualification - Total",6591,5108
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau de qualification - Total",5589,4306
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau de qualification - Total",5753,4562
"2004","Tessin (TI)","Suisses/étrangers - Total","Niveau de qualification - Total",5117,4127
"2006","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau de qualification - Total",5968,5200
"2006","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau de qualification - Total",5958,4784
"2006","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau de qualification - Total",6294,5127
"2006","Zurich (ZH)","Suisses/étrangers - Total","Niveau de qualification - Total",6763,5262
"2006","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau de qualification - Total",5674,4461
"2006","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau de qualification - Total",5932,4724
"2006","Tessin (TI)","Suisses/étrangers - Total","Niveau de qualification - Total",5187,4221
"2008","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau de qualification - Total",6279,5330
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau de qualification - Total",6118,4980
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau de qualification - Total",6510,5320
"2008","Zurich (ZH)","Suisses/étrangers - Total","Niveau de qualification - Total",6957,5244
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau de qualification - Total",5819,4591
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau de qualification - Total",6037,4853
"2008","Tessin (TI)","Suisses/étrangers - Total","Niveau de qualification - Total",5311,4233
"2010","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau de qualification - Total",6374,5579
"2010","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau de qualification - Total",6290,5167
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau de qualification - Total",6635,5471
"2010","Zurich (ZH)","Suisses/étrangers - Total","Niveau de qualification - Total",7042,5383
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau de qualification - Total",5912,4750
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau de qualification - Total",6322,5114
"2010","Tessin (TI)","Suisses/étrangers - Total","Niveau de qualification - Total",5475,4311
